Version Number,File Name,NumberRevisions,NumberAuthors,LOC,AGE,CHURN,LOC_TOUCHED,Avg_LOC_Added,MaxLocAdded,Avg_Chg_Set,Max_Chg_Set,numImports,numComments,Buggy
03,storm-core/src/jvm/backtype/storm/Config.java,9,3,987,59,44,111,8,19,8,17,72,4321,No
03,storm-core/src/jvm/backtype/storm/ConfigValidation.java,1,1,155,40,17,17,17,17,2,2,1,57,No
03,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,5,3,49,59,34,58,8,10,14,17,5,170,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,14,4,337,25,57,1060,9,28,6,17,279,682,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,7,3,112,25,120,197,19,24,10,17,91,217,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java,4,2,69,25,8,16,2,2,17,17,16,112,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/MessageBatch.java,4,2,136,25,20,20,5,5,17,17,20,188,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java,5,3,115,25,-59,361,4,5,14,17,35,215,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java,6,3,37,5,175,176,29,35,11,17,24,23,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,8,3,246,25,265,525,34,67,9,17,176,337,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java,5,3,41,2,205,205,41,41,14,17,20,90,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,5,3,44,25,0,5,0,0,14,17,15,105,No
03,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,5,3,66,25,4,73,0,1,13,17,50,85,No
03,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,1,1,248,46,3,3,3,3,1,1,18,49,Yes
03,storm-core/src/jvm/backtype/storm/testing/TestEventLogSpout.java,7,3,129,0,663,727,95,139,10,17,89,119,No
03,storm-core/src/jvm/backtype/storm/testing/TestEventOrderCheckBolt.java,5,3,76,0,380,380,76,76,14,17,65,85,No
03,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,7,3,201,60,45,99,7,31,10,17,119,209,No
03,storm-core/src/jvm/backtype/storm/utils/Time.java,1,1,109,48,0,12,0,0,1,1,6,19,No
03,storm-core/src/jvm/backtype/storm/utils/TransferDrainer.java,7,3,113,4,565,567,80,113,10,17,35,119,No
03,storm-core/src/jvm/backtype/storm/utils/Utils.java,6,3,447,59,-10,166,1,2,12,17,225,144,No
03,storm-core/src/jvm/storm/trident/util/TridentUtils.java,1,1,142,54,10,12,10,10,1,1,17,20,No
03,storm-core/test/jvm/backtype/storm/utils/DisruptorQueueTest.java,2,2,153,0,153,155,77,154,1,2,16,45,No
04,examples/storm-starter/src/jvm/storm/starter/BasicDRPCTopology.java,1,1,78,22,78,78,78,78,132,132,11,24,No
04,examples/storm-starter/src/jvm/storm/starter/ExclamationTopology.java,1,1,87,22,87,87,87,87,132,132,14,20,No
04,examples/storm-starter/src/jvm/storm/starter/ManualDRPC.java,1,1,68,22,68,68,68,68,132,132,12,17,No
04,examples/storm-starter/src/jvm/storm/starter/PrintSampleStream.java,3,3,58,25,58,62,19,58,47,132,21,51,No
04,examples/storm-starter/src/jvm/storm/starter/ReachTopology.java,1,1,196,22,196,196,196,196,132,132,15,34,No
04,examples/storm-starter/src/jvm/storm/starter/RollingTopWords.java,1,1,132,22,132,132,132,132,132,132,9,52,No
04,examples/storm-starter/src/jvm/storm/starter/SingleJoinExample.java,1,1,64,22,64,64,64,64,132,132,8,17,No
04,examples/storm-starter/src/jvm/storm/starter/TransactionalGlobalCount.java,1,1,173,22,173,173,173,173,132,132,19,22,No
04,examples/storm-starter/src/jvm/storm/starter/TransactionalWords.java,1,1,246,22,246,246,246,246,132,132,20,27,No
04,examples/storm-starter/src/jvm/storm/starter/WordCountTopology.java,1,1,107,22,107,107,107,107,132,132,15,20,No
04,examples/storm-starter/src/jvm/storm/starter/WordCountTopologyNode.java,2,2,121,11,242,242,121,121,4,8,24,42,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/AbstractRankerBolt.java,1,1,110,22,110,110,110,110,132,132,12,27,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/IntermediateRankingsBolt.java,1,1,58,22,58,58,58,58,132,132,4,23,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/PrinterBolt.java,1,1,37,22,37,37,37,37,132,132,4,17,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/RollingCountBolt.java,1,1,142,22,142,142,142,142,132,132,15,37,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/SingleJoinBolt.java,1,1,114,22,114,114,114,114,132,132,10,18,No
04,examples/storm-starter/src/jvm/storm/starter/bolt/TotalRankingsBolt.java,1,1,59,22,59,59,59,59,132,132,3,23,No
04,examples/storm-starter/src/jvm/storm/starter/spout/RandomSentenceSpout.java,1,1,64,22,64,64,64,64,132,132,9,17,No
04,examples/storm-starter/src/jvm/storm/starter/spout/TwitterSampleSpout.java,1,1,164,22,164,164,164,164,132,132,19,19,No
04,examples/storm-starter/src/jvm/storm/starter/tools/NthLastModifiedTimeTracker.java,1,1,70,22,70,70,70,70,132,132,2,25,No
04,examples/storm-starter/src/jvm/storm/starter/tools/Rankable.java,1,1,32,22,32,32,32,32,132,132,0,22,No
04,examples/storm-starter/src/jvm/storm/starter/tools/RankableObjectWithFields.java,1,1,148,22,148,148,148,148,132,132,5,44,No
04,examples/storm-starter/src/jvm/storm/starter/tools/Rankings.java,1,1,156,22,156,156,156,156,132,132,5,41,No
04,examples/storm-starter/src/jvm/storm/starter/tools/SlidingWindowCounter.java,1,1,119,22,119,119,119,119,132,132,2,71,No
04,examples/storm-starter/src/jvm/storm/starter/tools/SlotBasedCounter.java,1,1,118,22,118,118,118,118,132,132,5,32,No
04,examples/storm-starter/src/jvm/storm/starter/trident/TridentReach.java,1,1,156,22,156,156,156,156,132,132,20,18,No
04,examples/storm-starter/src/jvm/storm/starter/trident/TridentWordCount.java,1,1,85,22,85,85,85,85,132,132,18,17,No
04,examples/storm-starter/src/jvm/storm/starter/util/StormRunner.java,2,2,47,37,48,49,24,47,115,132,13,36,No
04,examples/storm-starter/src/jvm/storm/starter/util/TupleHelpers.java,1,1,33,22,33,33,33,33,132,132,2,17,No
04,examples/storm-starter/test/jvm/storm/starter/bolt/IntermediateRankingsBoltTest.java,1,1,146,22,146,146,146,146,132,132,14,31,No
04,examples/storm-starter/test/jvm/storm/starter/bolt/RollingCountBoltTest.java,1,1,113,22,113,113,113,113,132,132,13,30,No
04,examples/storm-starter/test/jvm/storm/starter/bolt/TotalRankingsBoltTest.java,1,1,147,22,147,147,147,147,132,132,14,31,No
04,examples/storm-starter/test/jvm/storm/starter/tools/MockTupleHelpers.java,1,1,40,22,40,40,40,40,132,132,3,18,No
04,examples/storm-starter/test/jvm/storm/starter/tools/NthLastModifiedTimeTrackerTest.java,1,1,125,22,125,125,125,125,132,132,4,26,No
04,examples/storm-starter/test/jvm/storm/starter/tools/RankableObjectWithFieldsTest.java,1,1,252,22,252,252,252,252,132,132,10,42,No
04,examples/storm-starter/test/jvm/storm/starter/tools/RankingsTest.java,1,1,368,22,368,368,368,368,132,132,8,62,No
04,examples/storm-starter/test/jvm/storm/starter/tools/SlidingWindowCounterTest.java,1,1,106,22,106,106,106,106,132,132,4,26,No
04,examples/storm-starter/test/jvm/storm/starter/tools/SlotBasedCounterTest.java,1,1,181,22,181,181,181,181,132,132,4,41,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/AbstractHBaseBolt.java,1,1,69,6,69,69,69,69,35,35,11,18,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseBolt.java,1,1,77,6,77,77,77,77,35,35,9,23,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/HBaseLookupBolt.java,2,2,83,7,83,84,41,83,22,35,24,46,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/mapper/HBaseMapper.java,1,1,48,6,48,48,48,48,35,35,3,33,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/mapper/HBaseProjectionCriteria.java,1,1,85,6,85,85,85,85,35,35,3,32,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/mapper/HBaseValueMapper.java,2,2,43,7,45,46,22,43,22,35,12,56,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/bolt/mapper/SimpleHBaseMapper.java,1,1,90,6,90,90,90,90,35,35,6,27,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/common/ColumnList.java,1,1,202,6,202,202,202,202,35,35,2,87,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/common/HBaseClient.java,1,1,135,6,135,135,135,135,35,35,12,18,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/common/IColumn.java,1,1,30,6,30,30,30,30,35,35,0,22,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/common/ICounter.java,1,1,29,6,29,29,29,29,35,35,0,22,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/common/Utils.java,1,1,69,6,69,69,69,69,35,35,4,17,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/security/HBaseSecurityUtil.java,1,1,52,6,52,52,52,52,35,35,6,21,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/mapper/SimpleTridentHBaseMapper.java,1,1,89,6,89,89,89,89,35,35,9,21,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/mapper/TridentHBaseMapper.java,1,1,31,6,31,31,31,31,35,35,4,16,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseMapState.java,1,1,233,6,233,233,233,233,35,35,21,3,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseQuery.java,1,1,40,6,40,40,40,40,35,35,5,17,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseState.java,2,2,164,7,164,168,82,164,22,35,38,36,No
04,external/storm-hbase/src/main/java/org/apache/storm/hbase/trident/state/HBaseStateFactory.java,1,1,40,6,40,40,40,40,35,35,4,17,No
